Unnamed: 0,CG_RMSD,RMSD,MCQ,TM-score
normalized_best_rp14_bound_30.pdb,1.370242962906037,15.45,28.58,0.2
normalized_alphafold3_rp14_bound_3.pdb,1.8538202126969536,9.912,12.69,0.347
normalized_best_rp14_bound_26.pdb,1.3065131267499337,14.81,20.9,0.342
normalized_rhofold_rp14_bound.pdb,0.3294448501333283,6.433,57.6,0.31
normalized_3drna_rp14_bound_5.pdb,1.8409705486124288,18.956,34.14,0.219
normalized_best_rp14_bound_42.pdb,1.83579858344682,14.088,21.34,0.314
normalized_best_rp14_bound_51.pdb,1.7664501248945728,7.763,18.86,0.308
normalized_best_rp14_bound_28.pdb,0.7357929269332163,16.141,27.02,0.195
normalized_best_rp14_bound_50.pdb,1.7622033119884586,7.718,23.79,0.297
normalized_ifoldrna_rp14_bound_2.pdb,19.36293459042007,23.676,32.26,0.112
normalized_best_rp14_bound_43.pdb,1.7650532449014944,8.16,18.79,0.306
normalized_eprna_rp14_bound.pdb,1.0520939946860968,22.293,94.82,0.127
normalized_best_rp14_bound_2.pdb,1.8370313456637224,13.92,25.21,0.264
normalized_3drna_rp14_bound_4.pdb,2.2821282770507576,17.324,31.15,0.181
normalized_best_rp14_bound_4.pdb,1.8113172286999373,13.022,23.58,0.242
normalized_best_rp14_bound_21.pdb,1.7744116037624464,9.769,21.59,0.301
normalized_ifoldrna_rp14_bound_5.pdb,19.39574538303818,32.762,32.15,0.137
normalized_best_rp14_bound_40.pdb,1.7651075438526962,7.687,19.26,0.313
normalized_best_rp14_bound_46.pdb,1.348851765604901,5.932,20.67,0.43
normalized_best_rp14_bound_36.pdb,1.317116280863089,15.429,23.87,0.212
normalized_ifoldrna_rp14_bound_1.pdb,19.37862082893471,21.173,30.3,0.135
normalized_best_rp14_bound_62.pdb,1.418414223196918,14.037,21.12,0.298
normalized_best_rp14_bound_57.pdb,1.4377198731071628,11.568,18.74,0.297
normalized_best_rp14_bound_63.pdb,1.429929569057294,11.694,21.18,0.288
normalized_ifoldrna_rp14_bound_3.pdb,19.383401982754137,19.679,33.08,0.142
normalized_best_rp14_bound_14.pdb,1.395891789738551,14.653,22.54,0.261
normalized_best_rp14_bound_54.pdb,1.3214215290389446,15.394,23.49,0.245
normalized_best_rp14_bound_61.pdb,1.7970703201459788,11.854,19.43,0.27
normalized_best_rp14_bound_33.pdb,1.4440080525170405,10.926,19.01,0.388
normalized_best_rp14_bound_5.pdb,1.299528353583559,16.7,20.1,0.349
normalized_trrosettarna_rp14_bound_4.pdb,0.7016586763512713,2.699,31.63,0.778
normalized_best_rp14_bound_11.pdb,1.3711676813946307,15.809,22.21,0.246
normalized_3drna_rp14_bound_2.pdb,1.8519642621282693,14.607,32.82,0.172
normalized_best_rp14_bound_23.pdb,1.4377198731071628,11.568,18.74,0.297
normalized_best_rp14_bound_47.pdb,1.8163473185485275,12.989,22.46,0.219
normalized_best_rp14_bound_9.pdb,1.333201412512477,14.501,24.3,0.271
normalized_best_rp14_bound_12.pdb,1.3711676813946307,15.809,22.21,0.246
normalized_best_rp14_bound_19.pdb,1.8166351738933664,12.705,25.83,0.307
normalized_best_rp14_bound_10.pdb,1.3707870411226306,15.468,23.04,0.224
normalized_best_rp14_bound_45.pdb,1.3345411834687788,11.73,25.92,0.28
normalized_best_rp14_bound_52.pdb,2.553135849005865,5.089,21.4,0.425
normalized_alphafold3_rp14_bound_2.pdb,1.9101294756930327,10.329,12.63,0.323
normalized_3drna_rp14_bound_3.pdb,2.4213488832473966,12.392,31.76,0.198
normalized_best_rp14_bound_59.pdb,1.452447838648813,12.431,21.76,0.287
normalized_best_rp14_bound_64.pdb,1.486874047968863,14.029,21.13,0.29
normalized_best_rp14_bound_48.pdb,1.35479794311358,15.968,23.93,0.236
normalized_rnacomposer_rp14_bound.pdb,0.9002150675809666,16.466,18.42,0.305
normalized_best_rp14_bound_1.pdb,1.469590047034982,16.256,18.83,0.293
normalized_best_rp14_bound_8.pdb,1.4650560036836515,15.158,15.43,0.355
normalized_best_rp14_bound_13.pdb,1.529270236234368,14.589,18.87,0.262
normalized_best_rp14_bound_53.pdb,1.2804822115081578,17.47,23.13,0.24
normalized_mcsym_rp14_bound_5.pdb,1.713251314143724,15.375,35.42,0.182
normalized_trrosettarna_rp14_bound_3.pdb,0.7131231134980638,2.385,36.02,0.786
normalized_best_rp14_bound_58.pdb,1.4230368543644154,15.627,24.5,0.21
normalized_alphafold3_rp14_bound_4.pdb,1.8925602224187223,9.108,12.57,0.342
normalized_vfold_rp14_bound.pdb,15.205589803589216,16.349,24.52,0.225
normalized_isrna_rp14_bound.pdb,14.670732529746871,13.497,18.55,0.233
normalized_best_rp14_bound_44.pdb,1.400340627014272,15.811,19.76,0.345
normalized_ifoldrna_rp14_bound_4.pdb,19.36461397578356,21.482,33.42,0.137
normalized_trrosettarna_rp14_bound_2.pdb,0.7050302009436159,2.76,29.19,0.764
normalized_best_rp14_bound_38.pdb,1.755518949061337,5.978,18.77,0.336
normalized_best_rp14_bound_3.pdb,1.3954773159891876,16.074,16.47,0.363
normalized_best_rp14_bound_31.pdb,1.3384036720431995,14.255,23.79,0.265
normalized_best_rp14_bound_16.pdb,1.7870841617518247,11.881,20.27,0.29
normalized_alphafold3_rp14_bound_5.pdb,1.9910981221930704,10.799,12.65,0.359
normalized_mcsym_rp14_bound_3.pdb,3.525071935527089,14.032,35.43,0.208
normalized_trrosettarna_rp14_bound_1.pdb,0.7074616498808324,2.082,29.36,0.806
normalized_mcsym_rp14_bound_4.pdb,3.2128126493419944,14.655,36.74,0.21
normalized_best_rp14_bound_25.pdb,1.7744116037624464,9.769,21.59,0.301
normalized_mcsym_rp14_bound_1.pdb,3.12989672882702,12.236,35.68,0.229
normalized_best_rp14_bound_56.pdb,1.5227717118309974,17.385,21.58,0.278
normalized_best_rp14_bound_24.pdb,1.8062571289421767,11.002,20.34,0.313
normalized_rnajp_rp14_bound.pdb,0.7358229214517916,14.478,23.6,0.234
normalized_best_rp14_bound_55.pdb,1.3541916453461822,7.035,21.8,0.43
normalized_best_rp14_bound_18.pdb,1.2508615530460108,16.917,23.91,0.297
normalized_best_rp14_bound_17.pdb,1.756672392693284,7.559,23.38,0.344
normalized_best_rp14_bound_29.pdb,1.36973927290061,8.366,22.81,0.344
normalized_vfoldpipeline_rp14_bound.pdb,15.221405677968988,2.631,17.31,0.665
normalized_best_rp14_bound_60.pdb,1.4315923650768252,12.879,21.11,0.265
normalized_mcsym_rp14_bound_2.pdb,1.1979194992050397,15.725,36.63,0.232
normalized_best_rp14_bound_20.pdb,1.806353067868216,11.965,22.06,0.301
normalized_best_rp14_bound_6.pdb,1.8118311289301223,13.195,21.43,0.293
normalized_trrosettarna_rp14_bound_5.pdb,1.0158096388926414,9.915,56.94,0.22
normalized_best_rp14_bound_34.pdb,0.7368657423757142,15.194,22.42,0.325
