Unnamed: 0,CG_RMSD,RMSD,MCQ,TM-score
normalized_mcsym_rp14_free_4.pdb,2.9866643041149485,13.22,38.21,0.244
normalized_best_rp14_free_35.pdb,2.56919473374988,,,0.215
normalized_best_rp14_free_26.pdb,0.7570566591400713,,,0.288
normalized_best_rp14_free_9.pdb,2.5837727174059286,,,0.26
normalized_best_rp14_free_41.pdb,0.6166965092953763,,,0.293
normalized_rnacomposer_rp14_free.pdb,1.1396210094647616,14.399,24.14,0.302
normalized_best_rp14_free_15.pdb,0.6422692478080221,,,0.345
normalized_best_rp14_free_33.pdb,0.9575397246504715,,,0.311
normalized_best_rp14_free_23.pdb,0.9680412046468332,,,0.267
normalized_best_rp14_free_18.pdb,2.6119776688096854,,,0.315
normalized_best_rp14_free_50.pdb,0.7922041241905062,,,0.326
normalized_best_rp14_free_20.pdb,0.8832462152196541,,,0.257
normalized_ifoldrna_rp14_free_3.pdb,18.887141734607585,30.548,32.56,0.172
normalized_mcsym_rp14_free_1.pdb,3.513795905791909,15.8,39.6,0.304
normalized_mcsym_rp14_free_3.pdb,4.2347882415394,19.248,35.54,0.227
normalized_isrna_rp14_free.pdb,15.68395174801156,15.444,24.89,0.219
normalized_alphafold3_rp14_free_1.pdb,1.136794064157462,4.28,19.6,0.426
normalized_best_rp14_free_11.pdb,0.6825232937370685,,,0.299
normalized_trrosettarna_rp14_free_3.pdb,0.6959895443429812,2.803,40.22,0.611
normalized_best_rp14_free_48.pdb,0.7011664548302302,,,0.263
normalized_trrosettarna_rp14_free_4.pdb,1.0355318612601596,15.987,61.14,0.199
normalized_best_rp14_free_2.pdb,0.5831102107228749,,,0.369
normalized_best_rp14_free_36.pdb,0.8676725245403852,,,0.274
normalized_best_rp14_free_31.pdb,2.530558695949677,,,0.318
normalized_ifoldrna_rp14_free_5.pdb,18.859526169902672,23.34,32.49,0.165
normalized_best_rp14_free_16.pdb,1.0013500991781146,,,0.318
normalized_best_rp14_free_51.pdb,0.98455277986062,,,0.279
normalized_best_rp14_free_8.pdb,2.591176410325722,,,0.335
normalized_3drna_rp14_free.pdb,0.982892019967884,15.356,36.41,0.307
normalized_best_rp14_free_44.pdb,1.0013500991781146,,,0.318
normalized_best_rp14_free_40.pdb,0.9233527962950135,,,0.201
normalized_best_rp14_free_37.pdb,0.6038679736736321,,,0.407
normalized_best_rp14_free_34.pdb,0.9434872688396662,,,0.317
normalized_trrosettarna_rp14_free_2.pdb,0.6867893542351048,2.661,35.57,0.67
normalized_best_rp14_free_25.pdb,0.9968611506048984,,,0.347
normalized_best_rp14_free_3.pdb,2.556379798839642,,,0.393
normalized_best_rp14_free_4.pdb,0.6038679736736321,,,0.407
normalized_trrosettarna_rp14_free_1.pdb,0.690870988304135,2.526,31.26,0.662
normalized_alphafold3_rp14_free_4.pdb,1.157775814268235,4.305,20.15,0.41
normalized_vfold_rp14_free.pdb,25.19792996833452,19.278,33.18,0.227
normalized_best_rp14_free_7.pdb,2.6032819437931733,,,0.343
normalized_vfoldpipeline_rp14_free.pdb,15.154473092144622,2.726,22.26,0.626
normalized_3drna_rp14_free_1.pdb,0.2522453053892561,3.767,21.18,0.528
normalized_best_rp14_free_49.pdb,2.5690922466168904,,,0.321
normalized_best_rp14_free_30.pdb,0.8012659782297564,,,0.276
normalized_best_rp14_free_29.pdb,0.7189037151468464,,,0.322
normalized_mcsym_rp14_free_5.pdb,1.0724912012661385,19.014,36.4,0.272
normalized_mcsym_rp14_free_2.pdb,2.093098493560512,17.28,37.61,0.268
normalized_alphafold3_rp14_free_2.pdb,1.1563499907919976,3.838,19.15,0.478
normalized_ifoldrna_rp14_free_2.pdb,18.878224695082142,31.269,33.02,0.192
normalized_best_rp14_free_19.pdb,0.6825232937370685,,,0.299
normalized_3drna_rp14_free_3.pdb,1.1424966207990863,15.217,24.6,0.377
normalized_3drna_rp14_free_2.pdb,1.110899101332947,14.861,24.28,0.383
normalized_best_rp14_free_27.pdb,0.9853143880376696,,,0.214
normalized_3drna_rp14_free_4.pdb,1.0679012999995503,14.753,21.73,0.363
normalized_best_rp14_free_24.pdb,0.7644927194870064,,,0.348
normalized_best_rp14_free_14.pdb,0.8488771631937267,,,0.311
normalized_best_rp14_free_1.pdb,0.7570566591400713,,,0.288
normalized_best_rp14_free_46.pdb,0.7346944945393448,,,0.26
normalized_best_rp14_free_32.pdb,2.582059282094668,,,0.293
normalized_best_rp14_free_5.pdb,0.7189037151468464,,,0.322
normalized_best_rp14_free_6.pdb,0.6230404807084267,,,0.357
normalized_best_rp14_free_42.pdb,0.8521604878926687,,,0.216
normalized_rhofold_rp14_free.pdb,1.3837800750328653,15.42,50.77,0.261
normalized_best_rp14_free_12.pdb,0.962657849550662,,,0.329
normalized_alphafold3_rp14_free_3.pdb,1.0858903290158373,4.539,19.61,0.423
normalized_best_rp14_free_17.pdb,0.7748684062540451,,,0.319
normalized_best_rp14_free_28.pdb,2.563506595374551,,,0.287
normalized_simrna_rp14_free.pdb,1.398852245322617,9.65,25.32,0.279
normalized_rnajp_rp14_free.pdb,1.308915060749776,15.37,23.34,0.228
normalized_best_rp14_free_13.pdb,2.609355517089877,,,0.336
normalized_ifoldrna_rp14_free_1.pdb,18.870941444629064,30.746,31.43,0.202
normalized_3drna_rp14_free_5.pdb,1.1140013593965916,14.873,26.06,0.385
normalized_alphafold3_rp14_free_5.pdb,1.1609534818289602,4.665,19.44,0.41
normalized_best_rp14_free_38.pdb,2.5944658254584145,,,0.358
normalized_best_rp14_free_22.pdb,2.6078938369510305,,,0.265
normalized_best_rp14_free_10.pdb,0.663028423397825,,,0.264
normalized_best_rp14_free_21.pdb,0.7714293849633043,,,0.267
normalized_trrosettarna_rp14_free_5.pdb,1.021378972968623,15.977,59.19,0.172
normalized_eprna_rp14_free.pdb,1.592387720521785,21.81,85.86,0.12
normalized_best_rp14_free_39.pdb,0.6906032592524266,,,0.286
normalized_ifoldrna_rp14_free_4.pdb,18.87632713976912,30.341,33.24,0.142
normalized_best_rp14_free_43.pdb,0.7346944945393448,,,0.26
normalized_best_rp14_free_52.pdb,0.9733623737192578,,,0.252
normalized_best_rp14_free_47.pdb,0.9384712487216278,,,0.313
normalized_best_rp14_free_45.pdb,0.6961417438968636,,,0.321
